Search keyword
All time
Account name,Customer ID,Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Month,Clicks,Impr.,CTR,Avg. CPC,Avg. CPC (Converted currency),Cost,Cost (Converted currency),Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Cost / conv. (Converted currency),Conv. rate,Avg. CPM (Converted currency),Revenue,Converted currency code
Risk Top Tactical,716-310-8729,risk 5.11,Eligible,,Broad match,Search,Risk,MXN,15.00,September 2025,465,"2,860",16.26%,5.22, --,2428.30, --,59.61%,85.81%,23.97,0,101.31, --,5.15%, --,15361.30,MXN
Risk Top Tactical,716-310-8729,511,Eligible,,Broad match,Search,5.11,MXN,40.00,October 2024,464,"1,392",33.33%,3.42, --,1586.41, --,73.71%,88.10%,1.00,0,1586.41, --,0.22%, --,850.00,MXN
Risk Top Tactical,716-310-8729,5.11 mexico,Eligible,,Broad match,Search,5.11,MXN,40.00,January 2023,464,968,47.93%,2.86, --,1325.47, --,73.88%,97.91%,8.00,0,165.68, --,1.72%, --,34283.81,MXN
Risk Top Tactical,716-310-8729,tienda 5.11,Not eligible,ad group removed,Broad match,Ubicaciones,5.11,MXN,15.00,November 2022,464,"2,019",22.98%,1.35, --,624.75, --,55.54%,88.25%,5.00,0,124.95, --,1.08%, --,9540.85,MXN
Risk Top Tactical,716-310-8729,productos tacticos mexico,Removed,removed,Broad match,Ubicaciones,CDMX,MXN,0,December 2025,461,"3,082",14.96%,2.27, --,1045.24, --,38.10%,80.12%,187.06,0,5.59, --,40.58%, --,0.00,MXN
Risk Top Tactical,716-310-8729,511 ropa,Removed,removed,Broad match,Search,5.11,MXN,0,May 2021,459,"2,608",17.60%,2.29, --,1052.20, --,41.21%,75.16%,4.00,0,263.05, --,0.87%, --,11395.00,MXN
Risk Top Tactical,716-310-8729,risk tactical,Eligible,,Broad match,Search,Risk,MXN,15.00,August 2024,457,740,61.76%,3.81, --,1741.40, --,87.09%,93.23%,16.95,0,102.75, --,3.71%, --,8469.51,MXN
Risk Top Tactical,716-310-8729,511 tactical,Eligible,,Broad match,Search,5.11,MXN,40.00,September 2024,452,"1,000",45.20%,3.14, --,1418.67, --,74.61%,98.14%,2.00,0,709.99, --,0.44%, --,3967.92,MXN
Risk Top Tactical,716-310-8729,tienda 5.11,Eligible,,Broad match,Search,5.11,MXN,40.00,August 2024,452,965,46.84%,1.70, --,767.81, --,73.74%,96.03%,2.54,0,302.07, --,0.56%, --,3371.53,MXN
Risk Top Tactical,716-310-8729,accesorios tacticos militares,Removed,removed,Broad match,Search,5.11,MXN,0,May 2025,451,"6,164",7.32%,2.14, --,967.03, --,22.99%,74.20%,4.00,0,241.76, --,0.89%, --,0.00,MXN
