"ID","Metafield: mm-google-shopping.custom_label_0 [single_line_text_field]"
"7092171143","zombie"
"9448979595488","zombie"
"9635304472800","zombie"
"6156847579311","zombie"
"8050609619168","zombie"
"8691637453024","zombie"
"8860304638176","zombie"
"8272354377952","zombie"
"9045113995488","zombie"
"8906763567328","zombie"
"8050611978464","zombie"
"7919750480096","zombie"
"7819739201760","zombie"
"7819834360032","zombie"
"8859578728672","zombie"
"9196389236960","zombie"
"9196329795808","zombie"
"9065185738976","zombie"
"8739325280480","zombie"
"9065232204000","zombie"
"9447727497440","zombie"
"8857109823712","zombie"
"7919753461984","zombie"
"9200221946080","zombie"
"9065252749536","zombie"
"9447797555424","zombie"
"8554440261856","zombie"
"8837396005088","zombie"
"8823475110112","zombie"
"7819830821088","zombie"
"6148426727599","zombie"
"9093902958816","zombie"
"8272354607328","zombie"
"7819831836896","zombie"
"8225754546400","zombie"
"8857703874784","zombie"
"9448975139040","zombie"
"8547064938720","zombie"
"6739036831919","zombie"
"8684090982624","zombie"
"3709415751732","zombie"
"8989899718880","zombie"
"9052312273120","zombie"
"9327738290400","zombie"
"8826628964576","zombie"
"6906702626991","zombie"
"8928382976224","zombie"
"7919752773856","zombie"
"8786873090272","zombie"
"8272355000544","zombie"
"8050610536672","zombie"
"7928861163744","zombie"
"9051913093344","zombie"
"9044387070176","zombie"
"6906703839407","zombie"
"7887450636512","zombie"
"4428638126132","zombie"
"7919750414560","zombie"
"7919753036000","zombie"
"9065232662752","zombie"
"7919751987424","zombie"
"9209444368608","zombie"
"9631906595040","zombie"
"8859416592608","zombie"
"8050609062112","zombie"
"8557954269408","zombie"
"7928833736928","zombie"
"8684127977696","zombie"
"8050610733280","zombie"
"9045115109600","zombie"
"6906700759215","zombie"
"9447546618080","zombie"
"7819828199648","zombie"
"7819741987040","zombie"
"8097527267552","zombie"
"8014193230048","zombie"
"9052304507104","zombie"
"7919752151264","zombie"
"8739320398048","zombie"
"9447726907616","zombie"
"8825672597728","zombie"
"9052297756896","zombie"
"9447726350560","zombie"
"9202155651296","zombie"
"9066169893088","zombie"
"8554428268768","zombie"
"8014193393888","zombie"
"8050609291488","zombie"
"7819830984928","zombie"
"4428625510452","zombie"
"7768281710816","zombie"
"8097526841568","zombie"
"7819738874080","zombie"
"6660910678191","zombie"
"7919751659744","zombie"
"9065234464992","zombie"
"9044401357024","zombie"
"8859395555552","zombie"
"6540975964335","zombie"
"7919751135456","zombie"
"8096902414560","zombie"
"6540959121583","zombie"
"8857105039584","zombie"
"7887533801696","zombie"
"9066163798240","zombie"
"8554431938784","zombie"
"8857698730208","zombie"
"8951275159776","zombie"
"6992487678127","zombie"
"9065247899872","zombie"
"8097526546656","zombie"
"8097527103712","zombie"
"9327740354784","zombie"
"8097528283360","zombie"
"7928833769696","zombie"
"9327737438432","zombie"
"8097527300320","zombie"
"8990006378720","zombie"
"1497825214516","zombie"
"8272353034464","zombie"
"8861990813920","zombie"
"7819838161120","zombie"
"8861994090720","zombie"
"10207997383","zombie"
"5485025722528","zombie"
"7919752610016","zombie"
"9327741599968","zombie"
"8782416347360","zombie"
"8272365224160","zombie"
"7919751364832","zombie"
"9200103031008","zombie"
"8272364306656","zombie"
"8050609258720","zombie"
"8769520074976","zombie"
"8097528447200","zombie"
"3781580193844","zombie"
"8050612338912","zombie"
